26/11/2019;11:27:26.217;- DEBUG:;-------------------------------------------------------------------------------------
26/11/2019;11:27:40.346;- DEBUG:;-------------------------------------------------------------------------------------
26/11/2019;11:27:40.565;- DEBUG:;-------------------------------------------------------------------------------------
26/11/2019;11:27:40.667;- INFO:;[AMOt] PEPPER > Hello MisterUser.
26/11/2019;11:29:47.211;- DEBUG:;-------------------------------------------------------------------------------------
26/11/2019;11:30:01.292;- DEBUG:;-------------------------------------------------------------------------------------
26/11/2019;11:30:01.609;- DEBUG:;-------------------------------------------------------------------------------------
26/11/2019;11:30:01.700;- INFO:;[AMOt] PEPPER > Hello MisterUser.
26/11/2019;11:30:03.586;- DEBUG:;-------------------------------------------------------------------------------------
26/11/2019;11:30:04.724;- INFO:;[AQPa] PEPPER > Please tell me, should I move closer, move farther or stay here?
26/11/2019;11:30:33.963;- INFO:;[AQPa] PEPPER > Please tell me, should I move closer, move farther or stay here?
26/11/2019;11:30:43.026;- INFO:;[    ] USER > [u'stay here', 1]
26/11/2019;11:30:43.029;- INFO:;[AMOt] PEPPER > Alright, I will stay here.
26/11/2019;11:30:48.953;- DEBUG:;-------------------------------------------------------------------------------------
26/11/2019;11:30:50.007;- DEBUG:;-------------------------------------------------------------------------------------
26/11/2019;11:30:52.305;- INFO:;[CMPo] PEPPER > It is great to see you again and I am looking forward to spending time with you today. I am especially keen to learn more about you as an individual, including the things you like and value, and also the things that you perhaps don't like so much!
26/11/2019;11:31:11.802;- DEBUG:;-------------------------------------------------------------------------------------
26/11/2019;11:31:14.088;- INFO:;[CMPo] PEPPER > It's important to me to know how I should call you. I want to address you properly
26/11/2019;11:31:23.187;- INFO:;[CQQu] PEPPER > I only know a little about this.  I am aware that some English people prefer to be called by their first names as they think this to be more friendly. May I call you Human?
26/11/2019;11:31:38.321;- INFO:;[    ] USER > yes please
26/11/2019;11:31:39.500;- INFO:;[CMPo] PEPPER > I understand that you will be pleased to be called  Human
26/11/2019;11:31:45.834;- INFO:;[RMOt] PEPPER > Let's do something. Do you have any ideas?
26/11/2019;11:31:49.365;- INFO:;[RQPr] PEPPER > As a suggestion, I could  take photos
26/11/2019;11:32:06.273;- INFO:;[    ] USER >  stop please
